route,fuel_cost_delta
Dubai → Sydney,7092.854285714286
Dubai → New York,6640.388720238094
New York → Dubai,6521.1530416666665
Doha → New York,6426.607797619048
Abu Dhabi → Chicago,6408.388476190476
Singapore → London,6127.687187499999
Bangkok → London,5808.1628035714275
Hong Kong → London,5738.591919642859
Dubai → Cape Town,4924.363258928573
Doha → Tokyo,4879.109211309523
Mumbai → London,4625.271360119047
Seoul → Dubai,4298.909895833334
Doha → Kuala Lumpur,4043.2467321428576
Muscat → London,3679.3080119047618
Abu Dhabi → London,3490.8915863095244
London → Dubai,3486.208148809524
Dubai → London,3477.4396428571426
Doha → London,3475.0515327380945
Dubai → Frankfurt,3358.8444285714286
Paris → Dubai,3345.3317916666674
Amsterdam → Dubai,3343.0486666666675
Dubai → Singapore,3265.4237351190473
Bahrain → London,3259.297104166668
Frankfurt → Dubai,3217.138369047619
Riyadh → London,3212.0053124999995
Kuwait City → London,3172.6826904761906
Dubai → Bangkok,3167.446181547619
Dubai → Nairobi,2390.1916369047613
Addis Ababa → Dubai,2378.689517857143
Istanbul → Dubai,1740.2001190476185
Dubai → Colombo,1686.6554999999996
Cairo → Dubai,1472.4770238095236
Dubai → Delhi,1392.1600952380954
Sharjah → Beirut,1285.0708571428572
Dubai → Islamabad,1124.4370000000004
Dubai → Karachi,937.0308333333336
